,0
774,78.1
775,78.1
776,78.2
777,78.2
778,78.2
779,78.2
780,78.4
781,78.4
782,78.4
783,78.4
784,78.4
785,78.4
786,78.6
787,78.6
788,78.6
789,78.6
790,78.6
791,78.6
792,78.6
793,78.6
794,78.6
795,78.6
796,78.6
797,78.6
798,78.6
799,78.6
800,78.6
801,78.6
802,78.6
803,78.6
804,78.6
805,78.6
806,78.6
807,78.6
808,78.8
809,78.8
810,78.6
811,78.6
812,78.6
813,78.6
814,78.6
815,78.8
816,78.8
817,78.8
818,78.8
819,78.6
820,78.6
821,78.6
822,78.8
823,78.8
824,78.8
825,78.8
826,78.6
827,78.6
828,78.6
829,78.6
830,78.8
831,78.8
832,78.8
833,78.8
834,78.8
835,78.8
836,78.8
837,78.8
838,78.8
839,78.8
840,78.8
841,78.8
842,78.8
843,78.8
844,78.85
845,78.9
846,78.9
847,79.1
848,79.1
849,79.1
850,79.3
851,79.3
852,79.5
853,79.5
854,79.6
855,79.6
856,79.8
857,79.8
858,79.8
859,80.0
860,80.0
861,80.2
862,80.2
863,80.2
864,80.2
865,80.2
866,80.3
867,80.3
868,80.3
869,80.3
870,80.3
871,80.3
872,80.3
873,80.3
874,80.3
875,80.3
876,80.3
877,80.3
878,80.3
879,80.3
880,80.3
881,80.3
882,80.3
883,80.3
884,80.3
885,80.3
886,80.3
887,80.3
888,80.3
889,80.3
890,80.3
891,80.3
892,80.5
893,80.5
894,80.5
895,80.5
896,80.5
897,80.5
898,80.5
899,80.5
900,80.5
901,80.5
902,80.5
903,80.5
904,80.5
905,80.5
906,80.5
907,80.5
908,80.5
909,80.5
910,80.5
911,80.5
912,80.5
913,79.6
914,78.4
915,77.7
916,77.2
917,76.8
918,76.7
919,76.3
920,76.0
921,76.0
922,75.8
923,75.6
924,75.4
925,75.1
926,75.1
927,74.9
928,74.7
929,74.7
930,74.6
931,74.4
932,74.2
933,74.2
934,74.6
935,74.9
936,74.9
937,75.1
938,75.1
939,75.1
940,75.1
941,74.9
942,74.4
943,74.2
944,74.2
945,74.2
946,74.4
947,74.4
948,74.4
949,74.4
950,74.4
951,74.6
952,74.7
953,74.9
954,74.9
955,74.9
956,75.1
957,75.1
958,74.9
959,74.9
960,74.9
961,74.9
962,74.7
963,74.9
964,75.8
965,76.1
966,76.3
967,76.5
968,76.7
969,76.7
970,76.8
971,77.0
972,77.0
973,77.2
974,77.3
975,77.3
976,77.3
977,77.5
978,77.5
979,77.5
980,77.7
981,77.9
982,77.9
983,78.1
984,78.1
985,78.2
986,78.2
987,78.4
988,78.6
989,78.6
990,78.8
991,78.8
992,78.8
993,78.8
994,78.9
995,78.9
996,78.9
997,79.1
998,79.1
999,79.1
1000,79.1
1001,79.1
1002,79.3
1003,79.3
1004,79.3
1005,79.5
1006,79.5
1007,79.5
1008,79.5
1009,79.1
1010,78.1
1011,77.3
1012,77.0
1013,76.5
1014,76.0
1015,75.8
1016,75.6
1017,75.4
1018,75.3
1019,75.1
1020,74.9
1021,74.9
1022,74.7
1023,74.6
1024,74.6
1025,74.4
1026,74.4
1027,74.4
1028,74.4
1029,74.4
1030,74.7
1031,74.9
1032,75.1
1033,75.3
1034,75.3
1035,75.3
1036,75.3
1037,75.1
1038,74.9
1039,74.7
1040,74.6
1041,74.9
1042,74.9
1043,74.9
1044,74.9
1045,74.9
1046,74.9
1047,75.1
1048,75.1
1049,75.1
1050,75.1
1051,75.1
1052,75.1
1053,75.1
1054,75.1
1055,75.1
1056,75.3
1057,75.3
1058,75.1
1059,75.3
1060,75.6
1061,76.0
1062,76.0
1063,76.1
1064,76.1
1065,76.3
1066,76.3
1067,76.3
1068,76.5
1069,76.7
1070,76.7
1071,76.8
1072,76.8
1073,77.0
1074,77.0
1075,77.2
1076,77.3
1077,77.5
1078,77.7
1079,77.7
1080,77.9
1081,77.9
1082,78.1
1083,78.1
1084,78.2
1085,78.2
1086,78.4
1087,78.6
1088,78.6
1089,78.6
1090,78.8
1091,78.8
1092,78.8
1093,78.8
1094,78.8
1095,78.9
1096,78.9
1097,78.9
1098,79.1
1099,79.1
1100,79.1
1101,79.3
1102,79.3
1103,79.3
1104,79.5
1105,79.3
1106,78.1
1107,77.2
1108,76.8
1109,76.3
1110,76.0
1111,75.8
1112,75.3
1113,75.1
1114,74.9
1115,74.7
1116,74.7
1117,74.6
1118,74.4
1119,74.4
1120,74.2
1121,74.1
1122,74.1
1123,73.9
1124,73.7
1125,73.9
1126,74.2
1127,74.4
1128,74.4
1129,74.6
1130,74.6
1131,74.6
1132,74.6
1133,74.4
1134,74.2
1135,74.1
1136,73.9
1137,73.9
1138,73.9
1139,73.9
1140,74.1
1141,73.9
1142,73.9
1143,74.1
1144,74.1
1145,74.2
1146,74.2
1147,74.2
1148,74.2
1149,74.2
1150,74.2
1151,74.2
1152,74.2
1153,74.2
1154,74.1
1155,74.1
1156,74.7
1157,75.1
1158,75.3
1159,75.4
1160,75.6
1161,75.8
1162,76.0
1163,76.1
1164,76.1
1165,76.3
1166,76.3
1167,76.5
1168,76.5
1169,76.7
1170,76.7
1171,76.7
1172,76.8
1173,77.0
1174,77.2
1175,77.2
1176,77.3
1177,77.5
1178,77.9
1179,78.1
1180,78.2
1181,78.2
1182,78.4
1183,78.4
1184,78.6
1185,78.6
1186,78.6
1187,78.6
1188,78.6
1189,78.6
1190,78.6
1191,78.6
1192,78.8
1193,78.8
1194,78.8
1195,78.8
1196,78.9
1197,78.9
1198,78.9
1199,78.9
1200,79.1
1201,78.9
1202,78.6
1203,77.7
1204,77.0
1205,76.3
1206,75.8
1207,75.6
1208,75.3
1209,75.1
1210,74.9
1211,74.7
1212,74.6
1213,74.4
1214,74.2
1215,74.2
1216,74.1
1217,74.1
1218,74.1
1219,74.1
1220,73.9
1221,74.1
1222,74.6
1223,74.6
1224,74.6
1225,74.7
1226,74.7
1227,74.7
1228,74.7
1229,74.6
1230,74.4
1231,74.1
1232,73.9
1233,73.9
1234,73.9
1235,74.1
1236,74.1
1237,74.2
1238,74.2
1239,74.2
1240,74.4
1241,74.6
1242,74.6
1243,74.6
1244,74.7
1245,74.7
1246,74.6
1247,74.6
1248,74.6
1249,74.6
1250,74.4
1251,74.6
1252,75.3
1253,75.4
1254,75.8
1255,76.0
1256,76.1
1257,76.3
1258,76.3
1259,76.5
1260,76.5
1261,76.7
1262,76.7
1263,76.8
1264,76.8
1265,77.0
1266,77.0
1267,77.2
1268,77.3
1269,77.5
1270,77.7
1271,77.7
1272,77.9
1273,77.9
1274,78.1
1275,78.1
1276,78.1
1277,78.2
1278,78.2
1279,78.2
1280,78.2
1281,78.4
1282,78.4
1283,78.4
1284,78.4
1285,78.6
1286,78.6
1287,78.6
1288,78.6
1289,78.6
1290,78.8
1291,78.8
1292,78.8
1293,78.8
1294,78.8
1295,78.8
1296,78.9
1297,78.9
1298,78.1
1299,76.8
1300,76.3
1301,75.8
1302,75.4
1303,75.3
1304,74.9
1305,74.6
1306,74.4
1307,74.7
1308,74.2
1309,74.1
1310,74.1
1311,73.7
1312,73.7
1313,73.5
1314,73.7
1315,73.5
1316,73.7
1317,73.7
1318,74.1
1319,74.4
1320,74.4
1321,74.4
1322,74.6
1323,74.6
1324,74.6
1325,74.4
1326,74.1
1327,73.7
1328,73.7
1329,73.7
1330,73.7
1331,73.9
1332,74.1
1333,74.4
1334,74.2
1335,74.2
1336,74.2
1337,74.2
1338,74.2
1339,74.2
1340,74.4
1341,74.2
1342,74.2
1343,74.2
1344,74.2
1345,74.2
1346,74.2
1347,74.4
1348,74.9
1349,75.3
1350,75.4
1351,75.6
1352,75.8
1353,76.0
1354,76.0
1355,76.05
